case,frame,event_score,contact_score,pre_strength,post_strength,causal_weight,causal_event_score
Cosmos3_seed101_0015,64,0.0011581253354925,0.0132000310331731,0.3759770372213698,0.52754228474862,0.0,0.0
Cosmos3_seed101_0015,95,2.5338300012683117,49.12901337884662,0.6029634726639135,0.48771053320873364,0.0,0.0
Cosmos3_seed101_0015,110,2.301312792326499,51.42897282356906,0.5738934948538224,0.9283544725937384,0.0,0.0
Cosmos3_seed101_0015,122,9.709080005723868,54.78082448140557,0.9283544725937384,2.016477882492037,0.5396158417336846,5.239173379748372
Cosmos3_seed101_0015,127,2.521766135487797,54.7637383001956,0.9283544725937384,4.313424225385241,0.7847755230913265,1.9790203380914286
Cosmos3_seed101_0015,134,1.7928111369947202,53.74240644450367,1.9048121540340721,21.398812390125574,0.9109851463105941,1.6332243159423978
Cosmos3_seed101_0015,147,3.4947202614727897,50.8436063483414,21.398812390125574,21.49344986464154,0.004403084433255775,0.01538754838187439
Cosmos3_seed101_0015,158,3.190066961000043,54.74078681410529,21.49344986464154,8.075960057998238,0.0,0.0
Cosmos3_seed101_0015,159,5.380463069088333,55.91772584847847,21.49344986464154,8.075960057998238,0.0,0.0
Cosmos3_seed101_0015,171,0.0503194060674648,46.34929639015198,8.075960057998238,3.1897782629815055,0.0,0.0
Cosmos3_seed101_0022,33,0.0023898318342404,0.2625094410214489,0.43403822941611386,0.59084410435515,0.0,0.0
Cosmos3_seed101_0022,63,21.414942966733506,53.786051325104346,0.33358738428145,0.55479734988345,0.0,0.0
Cosmos3_seed101_0022,78,55.519821261854815,78.09978628489856,0.561076626317,5.3446819218613495,0.8950215121274049,49.69143437882854
Cosmos3_seed101_0022,90,9.12843888486971,55.943107121029314,3.6962847763928,1.9521828349782,0.0,0.0
Cosmos3_seed101_0022,105,16.35518435525671,52.97679244987407,0.7619399457343,0.56838622166885,0.0,0.0
Cosmos3_seed101_0022,117,11.350433822458124,52.34187333923214,1.02031317284355,20.0836616901306,0.9491968552056945,10.773796089497601
Cosmos3_seed101_0022,127,88.25280310043169,95.19701089367828,6.79886231277965,35.7385377685809,0.8097610384396647,71.46368148381683
Cosmos3_seed101_0022,129,88.68286675858208,83.9923051948201,20.0836616901306,35.7385377685809,0.438039076467563,38.84656105342524
Cosmos3_seed101_0022,141,60.47427097835438,78.09978628489856,35.7385377685809,31.1949259749765,0.0,0.0
